unique,ID,dates,year,site,department,country,region,livestock,clivestock,altitude,lon,lat,sex,age,rep,dc13,dn15,idistance,pca1,pca2,bartonella,hemoplasma,coinfection
6147 spring 2013,6147,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.72,9.46,2.864489483,NA,NA,NA,NA,NA
6149 spring 2013,6149,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-8.89,9.69,4.450404476,NA,NA,NA,NA,NA
6146 summer 2013,6146,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.195,8.72,3.748856492,NA,NA,NA,NA,NA
6256 spring 2013,6256,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-7.84,12.21,6.84485208,NA,NA,NA,NA,NA
6257 spring 2013,6257,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-9.2,10.82,4.900499974,NA,NA,NA,NA,NA
6160 summer 2013,6160,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-7.54,11.23,6.432044776,NA,NA,NA,NA,NA
6146 spring 2013,6146,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-10.2,8.89,2.915475947,NA,NA,NA,NA,NA
6256 fall 2015,6256,10/17/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.794,10.527,4.276167092,1.123345283,-0.835595622,NA,NA,NA
6159 summer 2013,6159,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,N,-9,11.69,5.672741841,NA,NA,NA,NA,NA
6164 spring 2015,6164,4/23/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.96,10.7,3.391710483,0.787244317,0.34596777,0,1,0
6144 spring 2013,6144,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.11,10.1,4.498021787,NA,NA,NA,NA,NA
6150 spring 2013,6150,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.51,9.42,2.986134625,NA,NA,NA,NA,NA
6163 summer 2013,6163,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.85,8.72,2.278464395,NA,NA,NA,NA,NA
6263 spring 2013,6263,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,J,N,NA,NA,NA,NA,NA,NA,NA,NA
6258 spring 2013,6258,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.65,10.32,3.575947427,NA,NA,NA,NA,NA
6157 summer 2013,6157,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-10.62,9.235,2.780364185,NA,NA,NA,NA,NA
D100 fall 2015,D100,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.69,9.85,2.659266816,-0.226100739,-0.812363256,NA,NA,NA
6251 spring 2013,6251,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-9.09,9.79,4.334985582,NA,NA,NA,NA,NA
6253 spring 2013,6253,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-8.58,9.78,4.763034747,NA,NA,NA,NA,NA
6161 summer 2013,6161,8/11/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,SA,N,-9.09,10.55,4.797676521,NA,NA,NA,NA,NA
6162 summer 2013,6162,8/11/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,Y,NA,NA,NA,NA,NA,NA,NA,NA
D234 summer 2016,D234,8/9/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,N,-10.11,11.61,4.951413939,-0.525867632,0.533273254,1,1,1
D235 summer 2016,D235,8/9/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,N,-8.65,12.813,6.768414068,0.333565706,1.02523914,1,1,1
6164 summer 2013,6164,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,Y,NA,NA,NA,NA,NA,NA,NA,NA
6259 spring 2013,6259,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,J,Y,-9.31,11.14,5.055155784,NA,NA,NA,NA,NA
6260 spring 2013,6260,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-9.53,9.41,3.758896115,NA,NA,NA,NA,NA
6165 summer 2013,6165,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-13.66,10.88,3.372506486,NA,NA,NA,NA,NA
D201 fall 2015,D201,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,SA,N,-8.77,11.89,5.974520901,-0.216412294,-1.311446656,1,1,1
D202 fall 2015,D202,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-12.12,9.65,2.333238093,2.021181898,-0.453013596,0,0,0
D203 fall 2015,D203,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,SA,N,-11.58,10.37,3.183520064,-0.466885138,-0.212867102,1,1,1
6158 summer 2013,6158,7/14/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-10.74,9.86,3.153173005,NA,NA,NA,NA,NA
SP2 fall 2015,SP2,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.46,11.21,4.428317965,0.480102261,1.208574933,1,0,0
6255 fall 2013,6255,10/17/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
6255 spring 2013,6255,3/7/13,2013,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-9.68,10.36,4.235717177,NA,NA,NA,NA,NA
D208 fall 2015,D208,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-10.007,11.447,4.869445348,0.448429365,0.582357371,1,1,1
D209 fall 2015,D209,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.4,12.73,5.814258336,-1.653368086,-0.221622425,1,1,1
D236 summer 2016,D236,8/10/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.873,10.895,4.502993893,NA,NA,1,1,1
D237 summer 2016,D237,8/10/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-9.845,11.638,5.118254488,0.544359901,0.019037827,1,1,1
6164 summer 2016,6164,6/20/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.903,11.145,4.162839656,NA,NA,1,1,1
D64 spring 2015,D64,4/28/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,Y,-11.63,10.93,3.698175226,-1.14327205,-0.656701365,1,NA,NA
D96 summer 2016,D96,8/9/16,2016,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.058,10.974,3.942235406,1.966753931,-0.72771064,1,0,0
D97 fall 2015,D97,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,N,-12.76,11.58,4.190429572,-0.686311797,0.675312545,1,1,1
D98 fall 2015,D98,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,NA,NA,NA,-0.291084651,0.614132592,1,1,1
D207 fall 2015,D207,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.78,11.221,4.285202562,-1.095882961,-1.099513822,1,0,0
D99 fall 2015,D99,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.55,9.58,2.473580401,2.024845106,0.613657529,1,1,1
SP3 fall 2015,SP3,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.49,10.77,4.038378387,-1.186851712,1.62761247,1,1,1
SP4 fall 2015,SP4,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.22,10.03,3.622154055,2.057130185,-0.40717747,0,1,0
D63 fall 2015,D63,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.13,10.43,3.42147629,2.343984097,-0.855210157,1,0,0
D63 spring 2015,D63,4/28/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-10.9,10.64,3.715171598,-0.290450445,0.690964334,0,NA,0
D65 spring 2015,D65,4/28/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-11.35,11.36,4.193256491,0.582040018,-0.954603849,1,1,1
D210 fall 2015,D210,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,Y,-10.77,11.24,4.306669247,1.398513555,0.534196872,1,0,0
D206 fall 2015,D206,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-15.63,11.67,4.142511316,1.728165571,-0.437953546,1,1,1
D204 fall 2015,D204,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,A,N,-11.71,9.35,2.19583697,-1.343392916,1.027335244,1,1,1
D96 fall 2015,D96,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,Y,-12.2,9.98,2.637821071,1.74868498,0.180977849,NA,0,0
D95 fall 2015,D95,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,A,N,-9.52,12.04,5.633373767,-1.145351318,0.546070015,1,1,1
D205 fall 2015,D205,10/13/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,M,SA,N,-10.95,10.85,3.877383138,1.130872779,0.647434189,1,1,1
D94 fall 2015,D94,10/12/15,2015,AM1,Amazonas,Peru,AM/CA,high,32.62365189,660,-78.29150034,-5.212241,F,SA,N,-10.85,12.7,5.623041881,-1.735690528,-0.478338395,1,1,1
D213 fall 2015,D213,10/19/15,2015,AM2,Amazonas,Peru,AM/CA,high,32.53867826,660,-78.29039178,-5.212209,M,A,N,-11.263,10.56,3.480498384,-0.955908543,1.429190498,NA,NA,NA
D214 fall 2015,D214,10/19/15,2015,AM2,Amazonas,Peru,AM/CA,high,32.53867826,660,-78.29039178,-5.212209,M,A,N,-19.301,11.57,6.097921039,0.449236534,1.093045543,NA,NA,NA
D212 fall 2015,D212,10/19/15,2015,AM2,Amazonas,Peru,AM/CA,high,32.53867826,660,-78.29039178,-5.212209,F,SA,N,-10.76,12.136,5.127193774,0.848239589,0.004940327,NA,NA,NA
D13 summer 2013,D13,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,Y,-10.13,9.65,3.422352992,-1.119713986,-1.871886253,NA,NA,NA
D11 summer 2013,D11,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,SA,Y,-10.5,10.11,3.498342465,1.37837752,-0.920967944,NA,NA,NA
D21 summer 2013,D21,8/7/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,SA,N,-8.15,10.15,5.321663274,-3.324412654,-3.40616532,NA,NA,NA
D6 summer 2013,D6,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,N,NA,NA,NA,-2.331195092,-3.017683483,NA,NA,NA
D23 summer 2013,D23,NA,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-10.47,9.42,3.015592811,NA,NA,NA,NA,NA
D19 summer 2013,D19,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-11.22,8.47,1.832157198,-1.523239512,-0.209465049,NA,NA,NA
D24 summer 2013,D24,8/7/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,Y,-11.16,9.72,2.792937522,2.254430664,-0.75623964,NA,NA,NA
D14 summer 2013,D14,8/2/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,NA,NA,NA,-10.615,10.645,3.865520664,-1.095197853,0.384566809,NA,NA,NA
D18 summer 2013,D18,NA,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,SA,N,-9.99,11.74,5.125095121,NA,NA,NA,NA,NA
D9 summer 2013,D9,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,N,-8.82,11.37,5.558309095,-1.71548312,-0.598650776,NA,NA,NA
D3 summer 2013,D3,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-9.41,11.22,5.049059318,-0.884245556,-1.016100209,NA,NA,NA
D5 summer 2013,D5,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-10.96,9.59,2.804924241,2.120925919,-0.973520155,NA,NA,NA
D15 summer 2013,D15,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-10.945,9.475,2.725298149,-1.7449538,-3.014709348,NA,NA,NA
D25 summer 2013,D25,8/7/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,Y,-10.82,10.52,3.65120528,-0.10049671,-1.384199978,NA,NA,NA
D2 summer 2013,D2,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,N,-10.47,11.01,4.25174082,-2.891614526,-4.649803736,NA,NA,NA
D17 summer 2013,D17,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-8.14,11.75,6.30897773,-1.043586737,-2.632314792,NA,NA,NA
D4 summer 2013,D4,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-11.01,9.28,2.535389516,1.002901314,-1.486479698,NA,NA,NA
D20 summer 2013,D20,8/7/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-9.64,10.76,4.551977592,-1.071426091,-1.459329066,NA,NA,NA
D1 summer 2013,D1,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,Y,-10.54,10.16,3.512620105,NA,NA,NA,NA,NA
D10 summer 2013,D10,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,SA,N,-9.99,11.16,4.642951647,-1.14199334,-1.314324218,NA,NA,NA
D16 summer 2013,D16,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,Y,NA,NA,NA,0.864132135,-1.519103723,NA,NA,NA
D7 summer 2013,D7,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-10.36,11.5,4.729450285,0.66898139,-0.06267434,NA,NA,NA
D26 summer 2013,D26,8/7/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,A,Y,-10.62,9.63,3.056795708,-1.988662088,-0.606190495,NA,NA,NA
D22 summer 2013,D22,NA,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,SA,N,NA,NA,NA,NA,NA,NA,NA,NA
D8 summer 2013,D8,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,M,SA,N,-7.83,10.52,5.789110467,-1.342108927,-0.840649466,NA,NA,NA
D12 summer 2013,D12,7/27/13,2013,AM3,Amazonas,Peru,AM/CA,high,32.50978647,660,-78.288,-5.201,F,A,N,-10.09,10.7,4.215234276,0.332713614,-1.552550862,NA,NA,NA
4251 summer 2013,4251,7/8/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
4608 fall 2013,4608,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
4610 fall 2013,4610,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
4621 fall 2013,4621,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
4622 summer 2013,4622,7/8/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-10.34,10.43,3.848532188,NA,NA,NA,NA,NA
4628 fall 2013,4628,10/5/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
4628 summer 2013,4628,7/7/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,Y,-18.3,10.17,4.45188724,NA,NA,NA,NA,NA
4639 spring 2013,4639,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-10.14,10.1,3.72796191,NA,NA,NA,NA,NA
4646 summer 2013,4646,7/7/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
4651 summer 2013,4651,7/8/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-16.52,9.31,2.515492,NA,NA,NA,NA,NA
4663 fall 2015,4663,10/10/15,2015,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-13.69,8.51,1.274048665,NA,NA,1,1,1
6022 fall 2013,6022,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
6022 spring 2013,6022,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-10.69,10.48,3.686217574,NA,NA,NA,NA,NA
6024 summer 2013,6024,NA,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
6037 summer 2013,6037,7/7/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-11.94,11.18,3.865449521,NA,NA,NA,NA,NA
6040 summer 2013,6040,7/8/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,N,-14.46,10.42,2.775211704,NA,NA,NA,NA,NA
6043 summer 2016,6043,8/4/16,2016,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-11.149,10.884,3.822778701,0.917508566,0.433114111,0,0,0
6048 summer 2013,6048,7/7/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,N,-17.91,10.54,4.371555787,NA,NA,NA,NA,NA
6049 fall 2015,6049,10/10/15,2015,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-10.58,10.77,3.989837089,NA,NA,0,0,0
6093 summer 2013,6093,NA,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,N,NA,NA,NA,NA,NA,NA,NA,NA
6101 spring 2013,6101,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,Y,-9.82,9.89,3.813712102,NA,NA,NA,NA,NA
6102 spring 2013,6102,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-17.22,12.22,5.252903959,NA,NA,NA,NA,NA
6103 spring 2013,6103,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-10.65,12.27,5.293099281,NA,NA,NA,NA,NA
6129 spring 2013,6129,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-9.63,12.23,5.731535571,NA,NA,NA,NA,NA
6130 fall 2015,6130,10/10/15,2015,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-10.73,10.56,3.732264728,-0.21594717,0.570142237,0,1,0
6130 summer 2016,6130,8/4/16,2016,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-11.019,11.025,4.004870285,0.41439789,-0.635287367,NA,NA,NA
6133 fall 2013,6133,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
6133 spring 2013,6133,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,SA,N,-10.98,10.66,3.694766569,NA,NA,NA,NA,NA
6133 summer 2013,6133,NA,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
6138 fall 2015,6138,10/10/15,2015,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-12.32,11.28,3.908516343,NA,NA,NA,NA,NA
6141 summer 2013,6141,7/7/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-10.56,11.34,4.492449221,NA,NA,NA,NA,NA
6277 spring 2013,6277,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-10.74,11.02,4.12534847,NA,NA,NA,NA,NA
6278 spring 2013,6278,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-11.41,10.97,3.805325216,NA,NA,NA,NA,NA
6279 fall 2013,6279,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,J,N,NA,NA,NA,NA,NA,NA,NA,NA
6279 spring 2013,6279,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-14.2,10.17,2.556423283,NA,NA,NA,NA,NA
6288 summer 2013,6288,7/7/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-12.99,10.93,3.551858668,NA,NA,NA,NA,NA
6289 summer 2013,6289,7/7/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-14.58,10.8,3.1503968,NA,NA,NA,NA,NA
6151 summer 2013,6151,7/8/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,-10.65,11.95,4.999609985,NA,NA,NA,NA,NA
6152 summer 2013,6152,NA,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,Y,-17.14,10.01,3.445243097,NA,NA,NA,NA,NA
6273 spring 2013,6273,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,N,-10.93,10.22,3.337933492,NA,NA,NA,NA,NA
6274 spring 2013,6274,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,SA,N,-9.61,11.43,5.086226499,NA,NA,NA,NA,NA
6275 spring 2013,6275,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-10.62,10.74,3.943209353,NA,NA,NA,NA,NA
6276 spring 2013,6276,3/19/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-11.66,10.72,3.488624371,NA,NA,NA,NA,NA
6276 summer 2013,6276,NA,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,-11.93,10.55,3.252460607,NA,NA,NA,NA,NA
6212 fall 2013,6212,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
6213 fall 2013,6213,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
6214 fall 2013,6214,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,SA,N,NA,NA,NA,NA,NA,NA,NA,NA
6215 fall 2013,6215,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,M,J,N,NA,NA,NA,NA,NA,NA,NA,NA
6216 fall 2013,6216,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
6217 fall 2013,6217,10/6/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,Y,NA,NA,NA,NA,NA,NA,NA,NA
6205 fall 2013,6205,10/5/13,2013,CA1,Cajamarca,Peru,AM/CA,high,36.64704639,1368,-78.95346,-5.16826,F,A,N,NA,NA,NA,NA,NA,NA,NA,NA
